ZIP,CENSUS_REGION,STATE_NAME,CITY_NAME,STATE,LAT,LONG,COUNTY
00733,Territory,Puerto Rico,PONCE,PR,18.005,66.6121,PONCE
00734,Territory,Puerto Rico,PONCE,PR,18.005,66.6121,PONCE
00735,Territory,Puerto Rico,CEIBA,PR,18.2531,65.656,CEIBA
00736,Territory,Puerto Rico,CAYEY,PR,18.1134,66.1521,CAYEY
00737,Territory,Puerto Rico,CAYEY,PR,18.115,66.1669,CAYEY
00738,Territory,Puerto Rico,FAJARDO,PR,18.330278,65.657222,FAJARDO
00739,Territory,Puerto Rico,CIDRA,PR,18.176667,66.161667,CIDRA
00740,Territory,Puerto Rico,PUERTO REAL,PR,18.079167,67.185556,FAJARDO
00741,Territory,Puerto Rico,PUNTA SANTIAGO,PR,18.168333,65.748611,HUMACAO
00742,Territory,Puerto Rico,ROOSEVELT ROADS,PR,18.2674,65.6483,CEIBA
00744,Territory,Puerto Rico,RIO BLANCO,PR,18.220278,65.788889,NAGUABO
00745,Territory,Puerto Rico,RIO GRANDE,PR,18.379444,65.838889,RIO GRANDE
00751,Territory,Puerto Rico,SALINAS,PR,17.979444,66.298333,SALINAS
00754,Territory,Puerto Rico,SAN LORENZO,PR,18.191389,65.961389,SAN LORENZO
00757,Territory,Puerto Rico,SANTA ISABEL,PR,17.968056,66.405278,SANTA ISABEL
00765,Territory,Puerto Rico,VIEQUES,PR,18.426389,65.835556,VIEQUES
00766,Territory,Puerto Rico,VILLALBA,PR,18.129167,66.4925,VILLALBA
00767,Territory,Puerto Rico,YABUCOA,PR,18.0525,65.879722,YABUCOA
00769,Territory,Puerto Rico,COAMO,PR,18.081944,66.358333,COAMO
00771,Territory,Puerto Rico,LAS PIEDRAS,PR,18.183333,65.863333,LAS PIEDRAS
00772,Territory,Puerto Rico,LOIZA,PR,18.433333,65.880556,LOIZA
00773,Territory,Puerto Rico,LUQUILLO,PR,18.374444,65.716944,LUQUILLO
00775,Territory,Puerto Rico,CULEBRA,PR,18.305,65.301389,CULEBRA
00777,Territory,Puerto Rico,JUNCOS,PR,18.229444,65.921389,JUNCOS
00778,Territory,Puerto Rico,GURABO,PR,18.255,65.9775,GURABO
00780,Territory,Puerto Rico,COTO LAUREL,PR,18.0545,66.5625,PONCE
00782,Territory,Puerto Rico,COMERIO,PR,18.218333,66.225,COMERIO
00783,Territory,Puerto Rico,COROZAL,PR,18.343056,66.317222,COROZAL
00784,Territory,Puerto Rico,GUAYAMA,PR,17.9856,66.1307,GUAYAMA
00785,Territory,Puerto Rico,GUAYAMA,PR,18.0291,66.792,GUAYAMA
00786,Territory,Puerto Rico,LA PLATA,PR,18.156389,66.233333,AIBONITO
00791,Territory,Puerto Rico,HUMACAO,PR,18.1415,65.8216,HUMACAO
00792,Territory,Puerto Rico,HUMACAO,PR,18.1522,65.8221,HUMACAO
00794,Territory,Puerto Rico,BARRANQUITAS,PR,18.188333,66.308333,BARRANQUITAS
00795,Territory,Puerto Rico,JUANA DIAZ,PR,18.054444,66.506944,JUANA DIAZ
00901,Territory,Puerto Rico,SAN JUAN,PR,18.4652,66.1071,SAN JUAN
00902,Territory,Puerto Rico,SAN JUAN,PR,18.4661,66.1143,SAN JUAN
00906,Territory,Puerto Rico,SAN JUAN,PR,18.4661,66.1143,SAN JUAN
00907,Territory,Puerto Rico,SAN JUAN,PR,18.454167,66.084167,SAN JUAN
00908,Territory,Puerto Rico,SAN JUAN,PR,18.4495,66.0765,SAN JUAN
00909,Territory,Puerto Rico,SAN JUAN,PR,18.4418,66.0672,SAN JUAN
00910,Territory,Puerto Rico,SAN JUAN,PR,18.4459,66.0698,SAN JUAN
00911,Territory,Puerto Rico,SAN JUAN,PR,18.4505,66.0573,SAN JUAN
00912,Territory,Puerto Rico,SAN JUAN,PR,18.4463,66.0601,SAN JUAN
00913,Territory,Puerto Rico,SAN JUAN,PR,18.4499,66.0432,SAN JUAN
00914,Territory,Puerto Rico,SAN JUAN,PR,18.453,66.0557,SAN JUAN
00915,Territory,Puerto Rico,SAN JUAN,PR,18.4373,66.0476,SAN JUAN
00916,Territory,Puerto Rico,SAN JUAN,PR,18.4403,66.0531,SAN JUAN
00917,Territory,Puerto Rico,SAN JUAN,PR,18.4225,66.0502,SAN JUAN
00918,Territory,Puerto Rico,SAN JUAN,PR,18.419,66.0643,SAN JUAN
00919,Territory,Puerto Rico,SAN JUAN,PR,18.4238,66.059,SAN JUAN
00920,Territory,Puerto Rico,SAN JUAN,PR,18.4142,66.0908,SAN JUAN
00921,Territory,Puerto Rico,SAN JUAN,PR,18.3928,66.0885,SAN JUAN
00922,Territory,Puerto Rico,SAN JUAN,PR,18.4046,66.1579,SAN JUAN
00923,Territory,Puerto Rico,SAN JUAN,PR,18.4109,66.0365,SAN JUAN
00924,Territory,Puerto Rico,SAN JUAN,PR,18.3978,66.0111,SAN JUAN
00925,Territory,Puerto Rico,SAN JUAN,PR,18.4019,66.0498,SAN JUAN
00926,Territory,Puerto Rico,SAN JUAN,PR,18.3579,66.06,SAN JUAN
00927,Territory,Puerto Rico,SAN JUAN,PR,18.3907,66.0704,SAN JUAN
00928,Territory,Puerto Rico,SAN JUAN,PR,18.3995,66.0492,SAN JUAN
00929,Territory,Puerto Rico,SAN JUAN,PR,18.4521,66.0536,SAN JUAN
00930,Territory,Puerto Rico,SAN JUAN,PR,18.453,66.0557,SAN JUAN
00931,Territory,Puerto Rico,SAN JUAN,PR,18.3995,66.0492,SAN JUAN
00933,Territory,Puerto Rico,SAN JUAN,PR,18.4683,66.1061,SAN JUAN
00934,Territory,Puerto Rico,FORT BUCHANAN,PR,18.46,66.11,SAN JUAN
00935,Territory,Puerto Rico,SAN JUAN,PR,18.453,66.0557,SAN JUAN
00936,Territory,Puerto Rico,SAN JUAN,PR,18.4119,66.1208,SAN JUAN
00937,Territory,Puerto Rico,SAN JUAN,PR,18.4571,66.0882,SAN JUAN
00939,Territory,Puerto Rico,SAN JUAN,PR,18.453,66.0557,SAN JUAN
00940,Territory,Puerto Rico,SAN JUAN,PR,18.4459,66.0698,SAN JUAN
00949,Territory,Puerto Rico,TOA BAJA,PR,18.451944,66.181944,TOA BAJA
00950,Territory,Puerto Rico,TOA BAJA,PR,18.4426,66.1659,TOA BAJA
00951,Territory,Puerto Rico,TOA BAJA,PR,18.4536,66.1749,TOA BAJA
00952,Territory,Puerto Rico,SABANA SECA,PR,18.428889,66.185,TOA BAJA
00953,Territory,Puerto Rico,TOA ALTA,PR,18.3664,66.2333,TOA ALTA
00954,Territory,Puerto Rico,TOA ALTA,PR,18.3911,66.252,TOA ALTA
00955,Territory,Puerto Rico,SAN JUAN,PR,18.453,66.0557,SAN JUAN
00956,Territory,Puerto Rico,BAYAMON,PR,18.3406,66.1663,BAYAMON
00957,Territory,Puerto Rico,BAYAMON,PR,18.3704,66.1878,BAYAMON
00958,Territory,Puerto Rico,BAYAMON,PR,18.379,66.1761,BAYAMON
00959,Territory,Puerto Rico,BAYAMON,PR,18.3917,66.1586,BAYAMON
00960,Territory,Puerto Rico,BAYAMON,PR,18.3935,66.1605,BAYAMON
00961,Territory,Puerto Rico,BAYAMON,PR,18.4102,66.1641,BAYAMON
00962,Territory,Puerto Rico,CATANO,PR,18.4375,66.141,CATANO
00963,Territory,Puerto Rico,CATANO,PR,18.4426,66.1207,CATANO
00965,Territory,Puerto Rico,GUAYNABO,PR,18.4326,66.1173,GUAYNABO
00966,Territory,Puerto Rico,GUAYNABO,PR,18.3968,66.1153,GUAYNABO
00968,Territory,Puerto Rico,GUAYNABO,PR,18.4122,66.1037,GUAYNABO
00969,Territory,Puerto Rico,GUAYNABO,PR,18.3452,66.1101,GUAYNABO
00970,Territory,Puerto Rico,GUAYNABO,PR,18.4336,66.1164,GUAYNABO
00971,Territory,Puerto Rico,GUAYNABO,PR,18.3556,66.1077,GUAYNABO
00975,Territory,Puerto Rico,SAN JUAN,PR,18.4683,66.1064,SAN JUAN
00976,Territory,Puerto Rico,TRUJILLO ALTO,PR,18.344,66.0053,TRUJILLO ALTO
00977,Territory,Puerto Rico,TRUJILLO ALTO,PR,18.3404,65.9897,TRUJILLO ALTO
00978,Territory,Puerto Rico,SAINT JUST,PR,18.37,66.012222,TRUJILLO ALTO
00979,Territory,Puerto Rico,CAROLINA,PR,18.4353,66.0143,CAROLINA
00981,Territory,Puerto Rico,CAROLINA,PR,18.402,65.9782,CAROLINA
00982,Territory,Puerto Rico,CAROLINA,PR,18.409,65.9907,CAROLINA
00983,Territory,Puerto Rico,CAROLINA,PR,18.4132,65.9759,CAROLINA
00984,Territory,Puerto Rico,CAROLINA,PR,18.402,65.9782,CAROLINA
00985,Territory,Puerto Rico,CAROLINA,PR,18.3969,65.9555,CAROLINA
00986,Territory,Puerto Rico,CAROLINA,PR,18.402,65.9782,CAROLINA
00987,Territory,Puerto Rico,CAROLINA,PR,18.349,65.9477,CAROLINA
00988,Territory,Puerto Rico,CAROLINA,PR,18.402,65.9782,CAROLINA
01001,Northeast,Massachusetts,AGAWAM,MA,42.070206,72.622739,HAMPDEN
01002,Northeast,Massachusetts,AMHERST,MA,42.377017,72.51565,HAMPSHIRE
01003,Northeast,Massachusetts,AMHERST,MA,42.3892,72.5256,HAMPSHIRE
01004,Northeast,Massachusetts,AMHERST,MA,42.3698,72.5338,HAMPSHIRE
01005,Northeast,Massachusetts,BARRE,MA,42.409698,72.108354,WORCESTER
01007,Northeast,Massachusetts,BELCHERTOWN,MA,42.275103,72.410953,HAMPSHIRE
01008,Northeast,Massachusetts,BLANDFORD,MA,42.182949,72.936114,HAMPDEN
01009,Northeast,Massachusetts,BONDSVILLE,MA,42.2125,72.345833,HAMPDEN
01010,Northeast,Massachusetts,BRIMFIELD,MA,42.116543,72.188455,HAMPDEN
01011,Northeast,Massachusetts,CHESTER,MA,42.279421,72.988761,HAMPDEN
01012,Northeast,Massachusetts,CHESTERFIELD,MA,42.38167,72.833309,HAMPSHIRE
01013,Northeast,Massachusetts,CHICOPEE,MA,42.162046,72.607962,HAMPDEN
01014,Northeast,Massachusetts,CHICOPEE,MA,42.1457,72.6085,HAMPDEN
01020,Northeast,Massachusetts,CHICOPEE,MA,42.176443,72.576142,HAMPDEN
01021,Northeast,Massachusetts,CHICOPEE,MA,42.158,72.5859,HAMPDEN
01022,Northeast,Massachusetts,CHICOPEE,MA,42.196672,72.558657,HAMPDEN
01026,Northeast,Massachusetts,CUMMINGTON,MA,42.435296,72.905767,HAMPSHIRE
01027,Northeast,Massachusetts,EASTHAMPTON,MA,42.264319,72.679921,HAMPSHIRE
01028,Northeast,Massachusetts,EAST LONGMEADOW,MA,42.067203,72.505565,HAMPDEN
01029,Northeast,Massachusetts,EAST OTIS,MA,42.173333,73.035,BERKSHIRE
01030,Northeast,Massachusetts,FEEDING HILLS,MA,42.07182,72.675077,HAMPDEN
01031,Northeast,Massachusetts,GILBERTVILLE,MA,42.332194,72.198585,WORCESTER
01032,Northeast,Massachusetts,GOSHEN,MA,42.466234,72.844092,HAMPSHIRE
01033,Northeast,Massachusetts,GRANBY,MA,42.255704,72.520001,HAMPSHIRE
01034,Northeast,Massachusetts,GRANVILLE,MA,42.070234,72.908793,HAMPDEN
01035,Northeast,Massachusetts,HADLEY,MA,42.36062,72.571499,HAMPSHIRE
01036,Northeast,Massachusetts,HAMPDEN,MA,42.064756,72.431823,HAMPDEN
01037,Northeast,Massachusetts,HARDWICK,MA,42.35,72.2,WORCESTER
01038,Northeast,Massachusetts,HATFIELD,MA,42.38439,72.616735,HAMPSHIRE
01039,Northeast,Massachusetts,HAYDENVILLE,MA,42.381799,72.703178,HAMPSHIRE
01040,Northeast,Massachusetts,HOLYOKE,MA,42.202007,72.626193,HAMPDEN
01041,Northeast,Massachusetts,HOLYOKE,MA,42.204167,72.616667,HAMPDEN
01050,Northeast,Massachusetts,HUNTINGTON,MA,42.265301,72.873341,HAMPSHIRE
01053,Northeast,Massachusetts,LEEDS,MA,42.354292,72.703403,HAMPSHIRE
01054,Northeast,Massachusetts,LEVERETT,MA,42.46823,72.499334,FRANKLIN
01056,Northeast,Massachusetts,LUDLOW,MA,42.172823,72.471012,HAMPDEN
01057,Northeast,Massachusetts,MONSON,MA,42.101017,72.319634,HAMPDEN
